9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
,Mestrado,DE,17,,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,20h,(Em branco)
IFNMG,Aperfeiçoamento,20h,-,,Doutorado,DE,5,,Doutorado,DE,6,,Graduação,40h,3,,Mestrado,20h,(Em branco)
,,40h,-,,Especialização,DE,1,,Especialização,DE,1,,Mestrado,40h,1,,Doutorado,40h,(Em branco)
,,DE,1,,Mestrado,DE,21,,Mestrado,DE,22,,Doutorado,DE,6,,Educação Básica,40h,(Em branco)
,Doutorado,20h,2,Centro de Referência em Educação a Distância,Doutorado,20h,(Em branco),Centro de Referência em Educação a Distância,Doutorado,20h,(Em branco),,Especialização,DE,3,,Especialização,40h,(Em branco)
,,40h,7,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Graduação,DE,(Em branco),,Mestrado,40h,(Em branco)
,,DE,126,,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,DE,21,,Doutorado,DE,1
,Especialização,20h,3,,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),Centro de Referência em Educação a Distância,Doutorado,20h,(Em branco),,Educação Básica,DE,(Em branco)
,,40h,20,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,20h,(Em branco),,Especialização,DE,2
,,DE,128,,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,DE,3
,Graduação,20h,-,,Doutorado,DE,1,,Doutorado,DE,1,,Doutorado,40h,(Em branco),IFNMG,Doutorado,20h,(Em branco)
,,40h,37,,Especialização,DE,1,,Especialização,DE,3,,Especialização,40h,(Em branco),,,40h,27
,,DE,18,,Mestrado,DE,4,,Mestrado,DE,5,,Mestrado,40h,(Em branco),,,DE,208
,Mestrado,20h,2,IFNMG,Doutorado,20h,(Em branco),IFNMG,Doutorado,20h,(Em branco),,Doutorado,DE,1,,Educação Básica,20h,1
,,40h,25,,,40h,2,,,40h,6,,Especialização,DE,2,,,40h,(Em branco)
,,DE,350,,,DE,171,,,DE,192,,Mestrado,DE,3,,,DE,(Em branco)
,,,,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),IFNMG,Doutorado,20h,1,,Especialização,20h,(Em branco)
,,,,,,40h,2,,,40h,2,,,40h,11,,,40h,24
,,,,,,DE,85,,,DE,74,,,DE,202,,,DE,49
,,,,,Graduação,20h,5,,Graduação,20h,4,,Especialização,20h,(Em branco),,Graduação,20h,(Em branco)
,,,,,,40h,74,,,40h,66,,,40h,1,,,40h,20
,,,,,,DE,3,,,DE,1,,,DE,63,,,DE,1
,,,,,Mestrado,20h,1,,Mestrado,20h,(Em branco),,Graduação,20h,6,,Mestrado,20h,1
,,,,,,40h,9,,,40h,3,,,40h,46,,,40h,27
,,,,,,DE,386,,,DE,384,,,DE,1,,,DE,386
,,,,,,,,,,,,,Mestrado,20h,1,,,,
,,,,,,,,,,,,,,40h,19,,,,
,,,,,,,,,,,,,,DE,383,,,,
